marker,chr,pos,trait1,trait2,trait3,trait4,trait5
A03x2082804,A03,12.32088044,0.20119811,0.178844908,0.039669228,1.41518987,0.007413644
A03x2225329,A03,13.14778793,0.105676077,0.088062766,0.018556964,1.161763738,0.000822473
A03x2340276,A03,13.55553718,0.078533163,0.144266529,0.019145385,0.8929454,0.000631174
A03x2454551,A03,14.38244467,0.016689884,0.211638907,0.026882042,0.322063639,0.016849099
A03x2523512,A03,14.79040423,0.002498205,0.268380095,0.068112122,0.150833567,0.030846903
A03x2583078,A03,15.1985741,0.000655323,0.238145337,0.063944768,0.134890581,0.032087302
A03x2630245,A03,15.60653366,0.001951833,0.173287395,0.105815443,0.060633194,0.02911062
A03x2680580,A03,16.43322729,0.009816973,0.136660917,0.086275205,0.144415921,0.08020589
A03x2743333,A03,17.25992091,0.007504836,0.174924339,0.105965354,0.111899569,0.150693251
A03x2893568,A03,17.66788047,0.013161626,0.284923152,0.065687422,0.094394814,0.23514893
A03x2983118,A03,18.07605034,0.001338126,0.226223207,0.025557516,0.233884705,0.193114815
A03x3002421,A03,18.4840099,0.022481184,0.067714126,0.043314386,0.209695788,0.217393547
A03x3336329,A03,19.31091739,0.068756756,0.019086522,0.02069089,0.283256398,0.134918124
A03x3568227,A03,19.71887695,0.044361003,0.049572025,0.010175679,0.462187896,0.113336445
A03x3774722,A03,20.12704689,0.071544455,0.09585164,0.007177579,0.372752487,0.135947167
A03x3870878,A03,20.53527004,0.073316682,0.105886614,2.91E-06,0.390247833,0.085496048
A03x3908627,A03,20.53527109,0.073316639,0.105886681,2.91E-06,0.390247928,0.085496041
A03x3997839,A03,21.36180046,0.300510129,0.118724816,0.001063782,0.446861203,0.040930526
A03x4076710,A03,22.18806301,0.234445257,0.242877973,0.000144073,0.33785464,0.072128199
A03x4173377,A03,23.44359305,0.347455069,0.552045813,0.007949304,0.136018385,0.005915454
A03x4240578,A03,24.73778809,0.294929127,0.9878449,7.92E-05,0.324148636,0.00920357
A03x4296437,A03,25.15752592,0.433811727,1.163994416,0.015236208,0.23875284,0.060704565
A03x4334970,A03,25.57770113,0.431689206,1.007633544,0.001681563,0.239657477,0.141209949
A03x4378468,A03,25.99787634,0.424480344,0.816756023,0.003728125,0.131589246,0.206797893
A03x4610440,A03,26.41783475,0.592391465,0.751680805,0.025291759,0.031072011,0.207636597
A03x4610765,A03,27.26953321,0.251369702,0.748896497,0.016823706,0.039752957,0.162180809
A03x4650187,A03,27.68951956,0.12839833,0.62723621,0.009936207,0.053920868,0.192859039
A03x4696463,A03,27.68952061,0.128398223,0.627235942,0.009936165,0.053920798,0.192858921
A03x4793357,A03,28.10972385,0.111487609,0.641604131,0.020188571,0.040850119,0.177102922
A03x4887974,A03,28.52992708,0.047335819,1.043086875,0.038368668,0.051975169,0.154142416
A03x4978409,A03,28.52992813,0.047335754,1.043087219,0.038368622,0.051975122,0.154142418
A03x5068034,A03,28.95011608,0.059639852,1.231055672,0.082413108,0.017559446,0.214633037
A03x5228969,A03,29.40041366,0.009660601,1.461970308,0.036379023,0.029396491,0.337915647
A03x5282749,A03,29.85067975,0.001789741,1.71078481,0.002294215,0.021120356,0.269799493
A03x5377872,A03,30.30094585,0.007614585,1.744736276,3.48E-05,0.004920835,0.330763015
A03x5439663,A03,30.75121194,0.011680373,1.535291714,0.009038544,0.023089636,0.220483156
A03x5537477,A03,31.20147805,0.002204089,1.578077288,0.002599478,0.026249016,0.393513098
A03x5597431,A03,31.65102677,0.001718686,1.845827904,0.000436812,0.079522959,0.305376384
A03x5810755,A03,33.54192665,0.062096131,1.990657887,0.006628832,0.123155714,0.160855829
A03x5905316,A03,33.99272627,0.069814737,1.950495207,0.011330631,0.101370094,0.151530491
A03x6036372,A03,35.38972661,0.070718407,2.167974894,0.001528485,0.030217721,0.08828797
A03x6154518,A03,35.8109148,0.069290488,1.763782629,0.005405369,0.062496447,0.164210097
A03x6186685,A03,36.23259034,0.069805245,1.485220754,0.003044852,0.144895356,0.123413618
A03x6224923,A03,36.65426587,0.086651762,1.211586985,7.72E-05,0.166079155,0.064025196
A03x6322505,A03,37.07572384,0.207383362,1.161724732,0.002313841,0.086530945,0.077499507
A03x6386360,A03,37.930467,0.287505635,1.028930731,0.031589213,0.049221658,0.011745952
A03x6417941,A03,38.35193731,0.294267875,1.338735862,0.04927261,0.021111912,6.41E-06
A03x6438843,A03,38.76130593,0.562703962,1.035582797,0.114921473,0.030375202,0.002233853
A03x6622094,A03,39.59042964,0.721502073,0.746145461,0.115393438,0.098103303,0.001160493
A03x7347941,A03,41.29236475,0.905546888,0.246804209,0.034783901,0.085665697,0.017062337
A03x8080092,A03,42.12148846,0.682625812,0.137365617,0.062423991,0.03251453,0.00544377
A03x8109794,A03,42.53086318,0.606011345,0.249005073,0.070117371,0.007544815,0.028793724
A03x8169851,A03,42.9404492,0.482960455,0.221292381,0.107537582,0.021817121,0.059803084
A03x8249284,A03,43.34888126,0.546498108,0.288023487,0.106746602,0.027606408,0.048261233
A03x8382099,A03,45.05081201,0.650665347,0.131215848,0.097267453,0.014757261,0.036050604
A03x8429428,A03,46.30996029,0.994967627,0.043221876,0.094736798,0.071709342,0.090447928
A03x8538596,A03,47.13929085,1.019747971,0.197573739,0.154909656,0.02766368,0.001075039
A03x8743700,A03,47.57833498,0.839026119,0.192119886,0.167198367,0.023707051,0.000375011
A03x8812715,A03,48.01733245,0.676995758,0.309574456,0.277369953,0.059213038,0.010782321
A03x8927035,A03,48.90847836,0.383099958,0.479062442,0.420253482,0.012707322,0.044623503
A03x8966639,A03,49.34747583,0.382725735,0.344715633,0.372918782,0.000169371,0.085799808
A03x9043360,A03,49.78670047,0.534275791,0.2551733,0.221260177,0.004619809,0.021239928
A03x9208458,A03,50.22592511,0.55016004,0.226394639,0.259333459,5.26E-07,0.023178738
A03x9233927,A03,50.66514975,0.394553174,0.259969353,0.236038853,0.000344323,0.002395744
A03x9334213,A03,51.10414722,0.259988204,0.424687896,0.301087025,0.000138296,0.012028941
A03x9453646,A03,51.9950617,0.277363182,0.434985903,0.169052546,0.063964074,0.000579485
A03x9519345,A03,52.88597632,0.063392867,0.38915737,0.179025894,0.052014909,0.011239086
A03x9829397,A03,53.32449071,0.028407027,0.299115336,0.241178608,0.023657184,0.035697078
A03x9953796,A03,54.15329711,0.006063872,0.29180219,0.553114136,0.047004244,0.210706286
A03x10362678,A03,56.29876987,0.034345347,0.242014244,0.432037092,0.121881769,0.015900932
A03x10573020,A03,56.70607846,0.055853264,0.333354481,0.491285192,0.041049056,0.024308995
A03x10583907,A03,57.11403724,0.074531727,0.369164077,0.584464094,0.000243531,0.038447283
A03x10645630,A03,57.94094473,0.040597198,0.257942134,0.407393911,0.000507859,0.019715306
A03x10699747,A03,58.34890429,0.038364394,0.268504066,0.380795889,7.18E-06,0.015371618
A03x10739121,A03,58.75707338,0.025348046,0.238122204,0.306666252,0.034058054,0.007029459
A03x10838879,A03,59.16524324,0.000437253,0.312252637,0.345312383,0.047309736,0.014881581
A03x10877209,A03,59.5732028,0.000127267,0.412376083,0.392959094,0.121839302,0.001109235
A03x11036908,A03,60.40011029,0.00017934,0.254473381,0.158341598,0.325219025,0.035795605
A03x11077854,A03,60.80806985,0.001723603,0.385386853,0.2180707,0.357065068,0.08177682
A03x11181150,A03,61.21623972,0.039910206,0.410386976,0.151353911,0.350304194,0.153080448
A03x11287634,A03,61.62440978,0.030173205,0.277442296,0.090349803,0.263916825,0.128220449
A03x11466142,A03,62.03219885,0.003709556,0.096984341,0.063877549,0.291723053,0.147556368
A03x11791866,A03,62.43972759,9.91E-06,0.071150459,0.087861075,0.235094235,0.11966375
A03x12021134,A03,64.13580299,4.61E-06,0.321849245,0.124084369,0.485235141,0.055470509
A03x12103128,A03,64.54333159,6.40E-05,0.351058876,0.21858545,0.414454226,0.019635954
A03x12175322,A03,64.95150146,0.000266324,0.237633391,0.192370873,0.371795432,0.033835783
A03x12338072,A03,65.35967133,0.002879632,0.336364924,0.22600478,0.479790617,0.041450845
A03x12374307,A03,65.76784119,0.019562817,0.32419637,0.243574168,0.361295914,0.017966259
A03x12501698,A03,66.17601106,3.93E-06,0.247884697,0.210668984,0.322012471,0.029647501
A03x12560745,A03,66.58418093,0.018752518,0.178647995,0.21366121,0.184436709,0.058729516
A03x12679724,A03,66.9923508,8.63E-07,0.182655565,0.230692374,0.147087991,0.124347395
A03x12854571,A03,67.40052066,0.017708446,0.378712569,0.255238626,0.205226186,0.043200161
A03x12997092,A03,67.80869053,0.031103087,0.345976095,0.346668064,0.220631004,0.017273714
A03x13128260,A03,68.2168604,0.053415481,0.249590742,0.302960213,0.257930388,0.003396899
A03x13327802,A03,68.62481996,0.050759422,0.225240893,0.189213537,0.314287842,0.023614324
A03x13531256,A03,69.45129618,0.119296672,0.19200311,0.138143903,0.463515352,0.073226917
A03x13687552,A03,70.70728467,0.032879377,0.065142877,0.168414266,0.290512005,0.054851095
A03x13717255,A03,71.11503043,0.085205958,0.159443958,0.235946144,0.283642801,0.005302816
A03x13794333,A03,71.5232003,0.088737657,0.180194518,0.361997828,0.230538083,0.000509084
A03x13992712,A03,71.93137017,0.054673523,0.220526052,0.311347234,0.286994564,0.00023997
A03x14066190,A03,72.33954003,0.032177872,0.146562633,0.435644248,0.325805388,0.006133832
A03x14114548,A03,72.7477099,0.012049249,0.149852994,0.443972389,0.480129431,0.018933805
A03x14164882,A03,73.15566946,0.031601835,0.152191918,0.493277057,0.457530368,0.001254247
A03x14236893,A03,73.98257695,0.058249313,0.154697672,0.748518605,0.4191889,0.001448318
A03x14401516,A03,74.3903262,0.056617175,0.142558133,0.611957491,0.440847417,0.012873864
A03x14491869,A03,75.21723369,0.020804859,0.137013256,0.602326409,0.45775005,0.002344722
A03x14556707,A03,75.62498294,0.000294531,0.242648253,0.487079313,0.434094501,0.001615985
A03x14585658,A03,76.45189043,0.001600483,0.105075069,0.324300207,0.50561561,0.006636719
A03x14767219,A03,76.85963968,0.00202837,0.180113551,0.351894347,0.338418653,0.025530891
A03x14933805,A03,77.68654678,2.94E-05,0.107174628,0.329356522,0.311324673,0.045111159
A03x15147742,A03,78.09386487,0.00105665,0.148487127,0.381490442,0.492147488,0.077494417
A03x15289860,A03,79.79035169,0.02501376,0.216002246,0.49362255,0.56340078,0.032529643
A03x15439617,A03,80.1978797,0.026997695,0.225990416,0.4973538,0.494880022,0.02518114
A03x15552364,A03,80.60604957,0.002823017,0.257323649,0.527791539,0.379983358,0.009229467
A03x15589868,A03,81.01400912,0.001633594,0.196292795,0.314319447,0.419689209,0.011804111
A03x15613235,A03,81.84091662,0.040261155,0.198799604,0.333417061,0.521092797,0.05513526
A03x15810350,A03,82.24866586,0.111789131,0.072664448,0.219502792,0.353119602,0.162013501
A03x15983737,A03,83.07557336,0.102353732,0.098421346,0.222999741,0.501645075,0.244959853
A03x16016626,A03,83.48353292,0.166270265,0.075287429,0.245675166,0.4057267,0.186241009
A03x16128634,A03,83.89149247,0.114506408,0.073045944,0.239869346,0.265161446,0.242593753
A03x16214316,A03,84.71839997,0.000625499,0.080211508,0.329551868,0.183091449,0.485610542
A03x16315533,A03,85.12614921,0.003244304,0.111982732,0.393142034,0.248036846,0.453512315
A03x16388952,A03,85.95305671,0.003208758,0.25179354,0.225182109,0.178225377,0.343473165
A03x16497890,A03,86.3603748,0.035563489,0.14225833,0.252717482,0.203532788,0.528484144
A03x16763491,A03,88.05686162,0.061114769,0.017499423,0.547741891,0.031541767,0.812011554
A03x16851075,A03,88.46439002,0.076865192,0.000202412,0.45090355,0.022713596,1.013498732
A03x16899208,A03,88.87255989,0.094727633,0.008975558,0.584554819,0.057560921,0.78637705
A03x16905131,A03,89.28072975,0.026478324,0.0327856,0.589846683,0.162807455,0.866116109
A03x16921981,A03,89.68889962,0.008908434,0.036602973,0.369001509,0.225533336,0.714172802
A03x17000953,A03,90.09706949,0.047442936,0.001045486,0.21814234,0.086558382,0.788655719
A03x17151125,A03,90.50481525,0.027617537,0.002492629,0.292002289,0.033631614,0.656965336
A03x17233425,A03,91.76102131,0.078662683,0.006043001,0.111158954,0.02519231,0.513205426
A03x17428794,A03,92.16876707,0.0588999,0.038364349,0.166985022,0.02852779,0.631483742
A03x17636243,A03,92.57693694,0.09395119,0.061315369,0.127920128,0.055171948,0.721458879
A03x17891230,A03,92.9851068,0.065808264,0.052312399,0.102264356,0.06392147,1.021049009
A03x17945633,A03,93.39327667,0.257201871,0.062546262,0.058162361,0.061641877,0.816355783
A03x17995728,A03,93.80123623,0.153664931,0.000857363,0.037135046,0.076414581,0.774485163
A03x18057169,A03,94.62814372,0.090588128,0.032653659,0.131219993,0.007660085,0.893706314
A03x18192977,A03,95.03546182,0.124725822,0.03327862,0.0395525,0.004546498,0.640743617
A03x18279509,A03,96.7317272,0.03347282,0.024157708,0.021968647,0.020179564,0.36332813
A03x18446954,A03,97.55798239,0.000349232,0.026918714,0.026539996,0.044256773,0.402274412
A03x18490878,A03,97.96594195,0.002803989,0.039385087,0.000431264,0.051552372,0.279038922
A03x18614669,A03,98.37411182,0.014826889,0.035437503,0.031796958,0.023851403,0.375160834
A03x18787974,A03,98.78207137,0.071843584,0.010213755,0.031379482,8.32E-05,0.324601187
A03x19141176,A03,99.60897887,0.026199573,0.010665047,0.006963733,0.006281775,0.27201664
A03x19168325,A03,100.0169384,0.016494784,0.000402113,0.014113568,0.034026294,0.440485862
A03x19327483,A03,100.4251083,0.002262152,0.009215666,0.042455164,0.068852846,0.575757968
A03x19407869,A03,100.8330678,0.00235179,0.000188207,0.006185265,0.016009509,0.500535159
A03x19521630,A03,101.6599753,0.01222363,0.001293257,0.000189838,0.032673416,0.317442068
A03x19572534,A03,102.0679349,0.000275214,0.016199717,0.024153314,5.41E-06,0.269923871
A03x19588780,A03,102.4761048,0.000859124,0.024473953,0.004630043,0.000239154,0.194588415
A03x19731924,A03,102.8840643,0.009166422,0.027067129,0.00541138,0.015188505,0.254060768
A03x19849963,A03,103.710758,0.00020623,0.050964085,0.001473828,0.011136442,0.198715593
A03x19928814,A03,104.5374516,0.09426296,0.07985067,0.002966028,0.018245466,0.116162274
A03x20027810,A03,104.9454111,0.087183453,0.088824595,0.027486284,0.000509457,0.170197186
A03x20139956,A03,105.353581,0.083633941,0.046673123,0.073634996,0.00438921,0.112470898
A03x20186818,A03,105.7617509,0.046113562,0.051079012,0.189422384,0.020471693,0.061144112
A03x20297537,A03,106.1694966,0.038481801,0.063150741,0.268980939,0.027054819,0.028509463
A03x20335868,A03,107.4254851,0.029243837,0.062484392,0.118111415,0.056802689,0.025538911
A03x21053512,A03,108.2519614,0.05623426,0.082400789,0.193166769,0.199169354,0.00856485
A03x21769356,A03,108.6592794,0.112550189,0.024925197,0.340256188,0.300373233,2.10E-05
A03x21952964,A03,110.3557663,0.226276663,0.084669129,0.315513493,0.080167836,0.001182688
A03x22151769,A03,110.7630844,0.393880947,0.007367374,0.353471942,0.043420551,0.037958166
A03x22397890,A03,111.5899919,0.230099508,0.023582621,0.203197943,0.187333101,0.061883551
A03x22464203,A03,111.9977411,0.244085204,0.075182694,0.178324771,0.226334575,0.04045213
A03x22601970,A03,112.8246486,0.321479145,0.055404498,0.090424511,0.224489077,0.056919558
A03x22602321,A03,113.2323978,0.168285889,0.011708249,0.187222597,0.108665994,0.00772251
A03x22879126,A03,114.0588741,0.104684247,0.000399633,0.203029101,0.143313261,0.009961462
A03x23207388,A03,115.3148626,0.226362317,0.004508712,0.006465598,0.207494751,0.070322729
A03x23208268,A03,115.7226083,0.197898586,0.025814166,0.036104783,0.127579354,0.019076137
A03x23338138,A03,116.1307782,0.367740929,0.065658324,0.035433179,0.028566227,0.032809645
A03x23614347,A03,116.5383066,0.434696952,0.074604549,0.070892463,0.085834653,0.008093935
A03x24029011,A03,118.2343469,0.452331972,0.080561248,0.131259779,0.11997384,0.015353404
A03x24086683,A03,119.4896718,0.532759162,0.009478815,0.131763776,0.14215983,0.023092942
A03x24199357,A03,120.316148,0.358130355,0.00258222,0.087765902,0.271661156,0.007660332
A03x24259169,A03,120.7241075,0.212390517,0.007828847,0.028853417,0.22460295,0.006454614
A03x24393294,A03,121.1322774,0.301165136,0.010572941,0.000189552,0.154553843,0.031426214
A03x24556705,A03,121.5400232,0.355507283,0.000248303,0.026072526,0.1692276,0.065073355
A03x24723428,A03,122.7962292,0.411563092,0.07673847,0.000650128,0.121666682,0.131125062
A03x24950242,A03,123.2019491,0.322029987,0.084536908,0.007639518,0.103374402,0.039227087
A03x25669408,A03,127.7970353,0.174185121,0.882498066,0.219719548,0.03392489,0.051422548
A03x25858565,A03,129.0495437,0.250546939,1.00461561,0.116509979,0.00491101,0.012685014
A03x26452643,A03,132.6257813,0.042321916,0.367345828,0.182921028,0.11466388,0.002474756
A03x26563440,A03,133.0313161,0.021118543,0.582417171,0.051790995,0.140705953,0.021612989
A03x26868118,A03,135.6155807,0.017825322,0.940085889,0.210258154,0.010325212,0.010059384
A04x92546,A04,0,0.166664451,0.033844225,0.012236269,2.282385341,8.939191685
A04x241595,A04,0.382748284,0.114957908,0.034635719,0.021084139,2.323806576,9.672640753
A04x275110,A04,1.209442019,0.134008339,0.131766323,0.056894828,2.543702991,9.666360864
A04x338930,A04,2.036135649,0.185403296,0.150273003,0.008123564,2.582736554,11.05399508
A04x353174,A04,2.444095206,0.206064512,0.172673161,0.006783967,2.639013314,11.02054902
A04x411597,A04,2.852265074,0.199798457,0.193440092,0.039173294,2.814141514,11.85504149
A04x621065,A04,3.260434941,0.231053319,0.12715989,0.025151183,3.334796621,12.81333998
A04x678975,A04,3.668604808,0.387778518,0.081594095,0.015469628,3.489076854,12.50262552
A04x695170,A04,4.076774675,0.458323267,0.072408355,0.00294928,3.070524861,13.40876552
A04x825193,A04,4.484944542,0.557621573,0.043148445,0.00039664,3.103755206,13.36214352
A04x932068,A04,4.893114409,0.621605806,0.050950149,0.003823197,2.860121781,14.58681742
A04x1011208,A04,5.301284276,0.619468513,0.016868978,0.02534374,2.970650576,16.12459456
A04x1027875,A04,5.709454143,0.686591342,0.041246497,0.036127732,2.635014921,17.73340692
A04x1071274,A04,6.117624011,0.71601754,0.031152167,0.019659103,2.412684416,17.8511877
A04x1090746,A04,6.525793879,0.62737701,0.007612108,0.032229058,2.302297899,19.11501309
A04x1187017,A04,6.933753434,0.581205816,0.000780171,0.072269252,2.548335978,19.43573786
A04x1283259,A04,7.760660928,0.339664533,0.000378083,0.001490334,1.726961339,18.62236181
A04x1299887,A04,8.168620484,0.251868799,0.002910592,0.002048299,1.929153732,19.80648535
A04x1409492,A04,8.576790352,0.255023037,0.007030382,0.007181197,1.702289998,21.48399837
A04x1459842,A04,8.98496022,0.208447693,0.006923119,0.060125795,1.322927168,24.2317038
A04x1470653,A04,9.392919777,0.078504847,0.026000854,0.095978707,1.108279965,23.69058548
A04x1551326,A04,10.21961341,0.005287652,0.003089462,0.246066273,1.351819063,23.60797659
A04x1660172,A04,11.04542998,0.003974087,0.000934995,0.306951095,1.518327509,24.50494489
A04x1835717,A04,13.19339912,0.018965921,0.05231751,0.355625502,0.816226787,23.80403019
A04x1888482,A04,13.60049618,0.026641947,0.040106545,0.368128332,0.785514892,24.05654903
A04x2014152,A04,14.42740368,0.047754353,0.071860407,0.577605064,0.615413619,23.88465515
A04x2224862,A04,14.83515293,0.094867976,0.063155128,0.630050237,0.430055815,22.37696205
A04x2508430,A04,15.66206042,0.127875232,0.000242002,0.624546011,0.280996747,19.57839563
A04x2638407,A04,16.06980967,0.215115796,0.035253066,0.661399355,0.089634993,17.96911122
A04x2902730,A04,16.89671726,0.297089881,0.043682602,0.570007115,0.070552197,17.19166238
A04x2952567,A04,17.30470239,0.352793782,0.017752348,0.62868744,0.128911172,15.68599244
A04x3248299,A04,17.30470344,0.352793682,0.017752289,0.628687384,0.128911302,15.68599172
A04x3436561,A04,17.7128989,0.190065697,0.01611824,0.601791508,0.097581846,14.4974311
A04x3550818,A04,18.12085855,0.032205854,0.02163618,0.474583081,0.100044954,13.08328229
A04x3658159,A04,18.94776604,0.089528609,0.007379605,0.891090381,0.109300106,12.01420666
A04x3829663,A04,19.3557256,0.093420261,3.06E-05,0.702299464,0.059663628,11.14234214
A04x4348071,A04,19.76389546,0.123234835,0.009045474,0.975383285,0.069315447,10.3983888
A04x4692055,A04,20.17174855,0.105269332,0.004256569,0.950741661,0.079946244,10.31597948
A04x6292708,A04,21.21167548,0.101198526,0.000778402,0.842240058,0.096623494,9.988328517
A04x6979546,A04,22.25120283,0.242199735,0.004214379,0.811908871,0.003631223,8.454166018
A04x7311385,A04,22.65884592,0.226665452,0.000482034,0.821551958,0.004107865,8.096278387
A04x7829955,A04,23.48543962,0.052912696,0.004123295,0.483847439,0.027285992,9.973963386
A04x8057263,A04,23.89339933,0.088995132,0.005678409,0.293189155,0.008716047,9.402343924
A04x8392208,A04,24.3015692,0.053891931,0.000170765,0.219038052,0.009436469,9.368610145
A04x8538423,A04,24.70973906,0.009241235,0.031697651,0.194062762,0.028146447,8.174025095
A04x8655407,A04,25.11790893,2.46E-05,0.003961123,0.114259794,0.01566713,7.419613508
A04x8924483,A04,25.5260788,0.000443242,0.00141064,0.0661964,0.010879971,7.008434311
A04x9039559,A04,25.93424906,0.003972117,7.13E-05,0.036642188,0.001717365,6.465096393
A04x9150591,A04,26.3416434,0.006100113,1.54E-05,0.043580334,0.007795199,5.755315788
A04x9375663,A04,26.74960326,0.011110583,0.003977651,0.026649524,0.05439497,5.342692815
A04x9583674,A04,27.57550163,0.010068543,0.000491173,0.010152056,0.017020762,5.744349804
A04x9690246,A04,28.40198141,0.079073402,0.000205858,0.006276817,0.012646155,5.506783832
A04x10038414,A04,29.22824337,0.01485836,0.013345313,0.001618279,0.02003078,5.650607458
A04x10283910,A04,30.48423186,0.002171054,0.02507134,8.49E-05,0.000845437,5.186973606
A04x10620604,A04,30.89176693,0.005418854,0.035638776,0.009807763,0.000247748,5.124904834
A04x10806068,A04,31.71867442,0.005478526,0.000640875,0.002926991,0.008635585,4.633947674
A04x10935769,A04,32.12663398,0.003773593,0.001355012,0.011430105,0.015672783,4.55736066
A04x11047501,A04,32.53480385,0.010886453,0.000340447,0.022080625,0.033993664,4.015787208
A04x11075431,A04,32.94297371,0.028849132,0.006331687,0.049141432,0.032666603,4.067430852
A04x11538592,A04,33.35114358,0.047703363,0.0590123,0.110685182,0.001747138,3.748615504
A04x11952922,A04,33.75931345,0.019708167,0.100004077,0.062380196,0.001025054,3.395213425
A04x12186306,A04,34.16748331,0.07475308,0.255264686,0.07578648,0.010363073,4.024359924
A04x12327483,A04,34.57555382,0.118789703,0.197598218,0.019289919,0.067317231,3.361246027
A04x12461375,A04,35.18037786,0.053297867,0.136959665,0.016054674,0.043910324,3.160749098
A04x12652115,A04,37.08836874,0.022273753,0.19096545,0.021903495,0.002082799,3.347427314
A04x12767693,A04,38.78407053,0.021488166,0.450965773,0.001221458,0.165439372,4.061484084
A04x12883502,A04,39.19159894,0.050496331,0.373998527,0.017290504,0.339354825,4.258442611
A04x12949835,A04,39.59976881,0.046861338,0.395467648,0.000838641,0.230558554,4.596822367
A04x13143327,A04,40.00772759,0.011157222,0.433596271,0.00229521,0.321505862,4.285146783
A04x13368555,A04,40.83463508,0.010928046,0.547897602,0.001843961,0.164526503,3.1036709
A04x13500064,A04,41.24259503,0.000763644,0.303238948,0.000319437,0.225737387,2.574081149
A04x13670414,A04,41.64998859,0.019019165,0.271077536,1.18E-06,0.150751441,2.797396818
A04x13790497,A04,42.05794884,0.041466296,0.211294247,0.005508274,0.153660124,2.751406112
A04x13940190,A04,42.88384721,0.020127409,0.240158529,0.04569797,0.396058789,2.070768652
A04x13967699,A04,43.71054124,0.000543327,0.186453152,0.01630856,0.390851662,1.361037886
A04x14066977,A04,44.1185008,6.61E-06,0.114084425,0.040281549,0.380188811,1.194014291
A04x14188741,A04,44.52667067,1.30E-06,0.18715769,0.011061333,0.350047104,0.948593516
A04x14268002,A04,44.93484053,0.007631996,0.196852276,0.015146522,0.250412101,0.81579952
A04x14316164,A04,45.3430104,0.001529819,0.10449687,0.002036307,0.232326181,0.662655842
A04x14375964,A04,45.75097036,0.001478368,0.183537867,0.028056018,0.1226739,0.578190974
A04x14475178,A04,46.57643111,0.100520496,0.132120703,0.004335734,0.13622103,0.334542725
A04x14677493,A04,48.27269546,0.01617334,0.09743869,0.01457594,0.390312238,0.217984851
A04x14774088,A04,48.67902507,0.000173008,0.200518053,0.002837313,0.327213264,0.471012128
A04x14926909,A04,49.93501396,0.007395256,0.278249844,0.048599705,0.236232675,0.220936162
A04x15025757,A04,50.76127632,0.00289997,0.138792948,0.011164701,0.048210337,0.201023529
A04x15065928,A04,51.58796996,0.131764328,0.15521413,0.003134765,0.130326278,0.140178426
A04x15124232,A04,51.99592951,0.251462766,0.104304133,0.008122729,0.155363185,0.112939978
A04x15133897,A04,52.40409953,0.36065846,0.025536728,0.011519346,0.379456571,0.211495353
A04x15204133,A04,52.81196754,0.335335106,0.022725164,0.020731594,0.417279875,0.19718965
A04x15223661,A04,53.21927518,0.320692739,0.007885193,0.092745167,0.375884905,0.208513388
A04x15452083,A04,55.36713468,0.318356327,0.071573685,0.008770064,0.129381834,0.123306597
A04x15543152,A04,55.77401813,0.399913567,0.070115496,0.016506044,0.117379625,0.061854729
A04x15596675,A04,57.02978551,0.597592555,0.122485513,0.034340116,0.161509414,0.010403174
A04x15617584,A04,58.28542156,0.624870524,0.325309121,0.019798607,0.196586928,0.021704328
A04x15622004,A04,58.69252598,0.774227015,0.202927791,0.071483826,0.125748877,0.051996814
A04x15844084,A04,60.38887802,0.715958922,0.318299558,0.049481304,0.220264328,0.068122199
A04x16024261,A04,60.79640622,0.75832899,0.351586515,0.052879683,0.239573232,0.070178653
A04x16058911,A04,61.20436579,0.975596097,0.263737713,0.126321002,0.32546642,0.172711589
A04x16120075,A04,62.03084234,0.848952843,0.411343682,0.118346588,0.407968846,0.344520464
A04x16182858,A04,63.2607492,0.748964022,0.384769276,0.215501515,0.237030263,0.133834858
A05x1577781,A05,0,0.007724223,0.038366019,0.13314513,0.009701598,0.007181621
A05x1622401,A05,0.800839128,0.03224769,0.110870307,0.213161858,0.136589689,0.091297199
A05x1661031,A05,2.056164242,0.057191217,1.04E-05,0.173201031,0.040042956,0.081972467
A05x1729962,A05,3.751529142,0.083375291,0.000936304,0.011850357,0.016812609,0.003234857
A05x1825144,A05,5.446665181,0.116048434,0.019701265,0.000449417,0.002126793,0.005260368
A05x1866572,A05,7.142255182,0.148253239,0.024043791,0.000390593,0.049670943,4.54E-05
A05x1879454,A05,7.968079118,0.169609115,0.015741516,3.54E-08,0.129300243,0.000981769
A05x1903339,A05,9.223850041,0.146647709,0.019555376,0.002110686,0.066995761,0.034143138
A05x1918234,A05,10.05032614,0.095847044,0.050132948,0.022231286,0.094677571,0.006655819
A05x1923147,A05,10.4582857,0.028257112,4.51E-05,0.034767224,0.127686661,0.023958921
A05x1974237,A05,10.86603146,0.096114435,0.020509006,0.014126918,0.093422541,0.004151195
A05x2105622,A05,12.12223738,0.002359492,0.240877212,0.118689407,0.000883872,0.027523236
A05x2275228,A05,12.52998314,0.000139836,0.213842074,0.079872117,0.02571128,0.042864536
A05x2348317,A05,12.9379427,0.015294349,0.185134141,0.068885768,0.06149862,0.020503352
A05x2352063,A05,13.7648502,0.115682925,0.332387826,0.200621882,0.153541295,0.03124724
A05x2355391,A05,14.17280975,0.194378702,0.169596822,0.186258863,0.028649334,0.002737394
A05x2486145,A05,14.58097963,0.259619184,0.161651667,0.345455096,0.009559044,0.000716428
A05x2570810,A05,14.98736439,0.210488986,0.177020766,0.436830023,0.000163494,0.002680778
